,ESP_A01,ESP_A02,ESP_A03,ESP_B,ESP_C10-12,ESP_C13-15,ESP_C16,ESP_C17,ESP_C18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31-32,ESP_C33,ESP_D35,ESP_E36,ESP_E37-39,ESP_F,ESP_G45,ESP_G46,ESP_G47,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58,ESP_J59-60,ESP_J61,ESP_J62-63,ESP_K64,ESP_K65,ESP_K66,ESP_L68,ESP_M69_70,ESP_M71,ESP_M72,ESP_M73,ESP_M74-75,ESP_N,ESP_O84,ESP_P85,ESP_Q,ESP_R-S,,
ESP_C30,"0,0314631","0,007467603","0,000296601","0,010613167","0,03753973","0,006581079","0,012239341","0,009714641","0,003396161","0,004960177","0,020563507","0,013010442","1,602163936","0,017791717","0,046944482","0,157026599","0,053170765","2,998408409","0,333688971","0,687550542","11,53890319","0,020999111","6,102356865","0,065233578","0,004607173","0,006665335","0,265164185","0,037169484","0,063300529","0,012230645","0,363799774","0,000303567","0,725822535","0,01358799","0,001013682","0,010216098","0,001227666","0,00146141","0,018463147","0,007933556","0,010424359","0,006522708","0,000697293","0,030153722","0,009370105","0,11116844","0,007980427","0,000934655","0,001217785","0,042134002","0,031347124","0,007863338","0,040575806","0,048927658",0,0
ESP_C31-32,"0,027177707","0,001877332","0,000361672","0,009818608","0,100501093","0,143308226","0,161331","0,034968256","0,02147084","0,004678803","0,179325256","0,075168805","0,110034572","0,087591466","0,17433686","0,30506793","0,353798006","0,542473289","0,626278143","0,649437525","0,257628236","1,943164651","0,242059371","0,023538544","0,006549051","0,022400474","0,534677464","0,117850214","0,125592851","0,081071661","0,026537992","7,73E-05","0,017541866","0,010650021","0,000786897","0,0414801","0,021915079","0,007683228","0,063873225","0,030230072","0,030831327","0,011741688","0,001600203","0,070151507","0,071555983","0,089559415","0,01331972","0,004817603","0,10954468","0,123421321","0,065519221","0,058288174","1,5566747","0,10968311",0,0
ESP_C33,"0,118771173","0,028904704","0,001048521","0,016198493","0,057456842","0,009132512","0,020269585","0,030362538","0,009878334","0,01387257","0,047241862","0,034475652","0,031856876","0,021298497","0,049613655","0,152077634","0,186748984","0,481182471","0,667020454","0,37744253","0,11884031","0,03530697","0,437857408","0,265630651","0,017851621","0,021154425","0,369950743","0,06726951","0,163876363","0,023794237","0,176256342","0,001105778","0,077999083","0,024559489","0,00127863","0,012198369","0,000869375","0,008948205","0,118258891","0,029542593","0,00450295","0,001906129","0,000285945","0,013001882","0,003353104","0,033385112","0,004619679","0,001121756","0,003019048","0,049696028","0,05867916","0,010250739","0,119879203","0,026177011",0,0
ESP_D35,"0,030507025","0,002749686","0,000655327","0,038893473","0,091995394","0,013346669","0,044779425","0,097484562","0,007585907","0,007222238","0,197643712","0,028076816","0,031926406","0,067914266","0,182473585","0,040137778","0,018015587","0,026109651","0,076628365","0,10915213","0,005063872","0,00958436","0,015809959","1,995433845","0,006968201","0,019120333","0,21298746","0,025615181","0,097308356","0,050898068","0,136596652","0,00034781","0,0091526","0,08043409","0,006151537","0,05637012","0,00437172","0,003491342","0,023640369","0,01245526","0,025675977","0,014319591","0,001583734","0,112575913","0,026842603","0,27779447","0,007089888","0,003387793","0,002443218","0,039416311","0,090137743","0,078741836","0,120898182","0,056160424",0,0
ESP_E36,"0,000948369","0,000215857","2,19E-05","0,001838614","0,004833077","0,00077891","0,005695571","0,027125929","0,000326496","0,000597753","0,00218727","0,001457972","0,01634257","0,003585668","0,07728513","0,002391456","0,001409645","0,001046953","0,003829485","0,001515263","0,000433266","0,001059488","0,001076124","0,03375226","0,000381724","0,180411094","0,036067235","0,002330602","0,013063516","0,004666248","0,003496542","2,57E-05","0,002633822","0,004577199","0,000348799","0,005842073","0,000704323","0,000637957","0,00141327","0,002476365","0,006375711","0,005521759","0,000864304","0,174991045","0,006970858","0,026297264","0,00085881","0,00063693","0,00043917","0,013687404","0,008147499","0,003300061","0,009569074","0,003731246",0,0
ESP_E37-39,"0,014192646","0,001681434","0,000100604","0,010237996","0,083272681","0,016447361","0,194061568","1,017674733","0,003003559","0,002894443","0,02676259","0,020126931","0,597982993","0,105142974","2,923070317","0,03422325","0,022768802","0,025488729","0,055362543","0,018449248","0,008654922","0,023268058","0,011688385","1,185348227","0,004367343","6,942726982","0,071338357","0,043005069","0,21372746","0,066113613","0,043963099","0,000114662","0,002660991","0,040701815","0,00192987","0,129668106","0,008376746","0,005788175","0,008680484","0,023205069","0,075150795","0,11636745","0,021721683","6,01411753","0,10140539","0,015496281","0,008853236","0,011785905","0,011523831","0,092043851","0,085903339","0,038419628","0,204366945","0,054318868",0,0
ESP_F,"0,055039956","0,028516113","0,004237271","0,04142441","0,19474183","0,033795718","0,140321988","0,058220556","0,028366565","0,040372118","0,115364371","0,071161064","0,06805649","0,168291004","0,141428712","0,150729688","0,048743767","0,099631753","0,54533441","0,319174119","0,032943253","0,043987302","0,145390427","0,158596472","0,077402639","0,130869874","7,953127859","0,069750025","0,353481444","0,326641978","0,194032827","0,000638628","0,00649265","0,447266312","0,028233231","0,482158309","0,013722354","0,016816068","0,01861381","0,045239625","0,11609844","0,020683119","0,009179211","2,581864353","0,097216698","0,054121959","0,018805176","0,009534143","0,013603439","0,116432221","0,329302513","0,284933385","0,350618894","0,243731103",0,0
ESP_G45,"0,083652486","0,001926015","0,00065211","0,011669943","0,331237595","0,355810786","0,058452399","0,095159922","0,021103518","0,028980585","0,965087657","1,363258356","0,217324606","0,095146443","0,155343909","0,13861601","0,177125083","0,21199032","0,618947397","0,906973004","0,089788824","0,139045469","0,124698559","0,025889552","0,003480654","0,067109497","0,387645923","0,220586651","0,12051924","0,043663536","0,09761753","0,000322049","0,018517857","0,036930336","0,000696763","0,077724443","0,003486261","0,007458484","0,052469505","0,033420362","0,013212129","0,007199962","0,002136466","0,066884346","0,019317465","0,029087722","0,04210011","0,004377636","0,062650266","0,04387982","0,040897926","0,013477342","1,972976463","0,034548747",0,0
ESP_G46,"0,44171741","0,009765474","0,003131101","0,06105416","1,803730742","1,88581045","0,311378497","0,513460666","0,112147087","0,154973005","5,11081219","7,123163481","1,153251298","0,499230061","0,834402779","0,731871539","0,934656404","1,114052508","3,195427112","4,414134588","0,456000246","0,733842936","0,661166458","0,127444126","0,016135148","0,348336326","2,0466778","0,694786255","0,556453708","0,208453419","0,150618853","0,000976856","0,043934107","0,064401696","0,003485562","0,469982983","0,017036808","0,039827187","0,282369833","0,171168549","0,075700118","0,042551134","0,010801052","0,391858047","0,080998206","0,203919799","0,222471018","0,024041052","0,326006837","0,179468584","0,191244233","0,068465182","10,28903433","0,170816548",0,0
ESP_G47,"0,15119074","0,003040348","0,001107444","0,01888296","0,626636508","0,627982452","0,097576457","0,166446421","0,036591073","0,050703319","1,699782131","2,400178429","0,380906351","0,161216495","0,270877638","0,239628342","0,31146829","0,367886691","1,066360194","1,482943147","0,152362618","0,241755178","0,218757855","0,038273476","0,005353881","0,104845254","0,667092456","0,232914435","0,175807761","0,067601081","0,043927693","0,000293496","0,012190524","0,019321461","0,001020153","0,175543913","0,005467613","0,013918089","0,093715715","0,071016135","0,025538008","0,015465354","0,003625058","0,119900196","0,025584417","0,04827678","0,073969914","0,011197343","0,109488946","0,062552965","0,061436736","0,023184354","3,463384122","0,05585636",0,0
ESP_H49,"0,08829458","0,004403831","0,001346382","0,28846216","2,321546262","0,233368561","1,250456557","1,220056122","0,193330049","0,350757066","1,165680703","0,297758712","0,554279326","1,215303405","1,105537285","0,89502231","0,142932854","0,380857706","1,206907038","0,444291567","0,144396219","0,224282288","0,130319617","0,586659395","0,007826132","0,286108648","1,044043672","0,362704441","5,278803871","0,766724111","5,364003118","0,01596979","0,075048496","0,071307148","0,182541937","0,161512277","0,338234043","0,017652271","0,042449648","0,053513741","0,094119597","0,106241331","0,015552026","0,074160163","0,155761548","0,043559933","0,016321039","0,054221151","0,013695883","0,249649138","0,246002287","0,248241475","0,310292658","0,079070857",0,0
ESP_H50,"0,002620627","0,000216548","6,17E-06","0,006023246","0,058689712","0,016750127","0,028056973","0,046474157","0,003765234","0,014744509","0,033244155","0,017739997","0,012217564","0,025461746","0,139463809","0,02054299","0,0038172","0,023792668","0,067118212","0,014266361","0,00492183","0,005006732","0,003759255","0,008555599","0,000164731","0,005033562","0,026030153","0,007548435","1,774234859","0,014877439","0,01299456","0,00012761","0,00632945","0,005178475","0,000158337","0,002717739","0,006635038","0,000146678","0,000654818","0,000879527","0,000351176","0,000238301","5,93E-05","0,001578575","0,005655065","0,001215734","0,000581321","0,000137038","0,00074174","0,095270741","0,002199972","0,001718744","0,023948545","0,00193924",0,0
ESP_H51,"0,015770183","0,0033575","0,000560455","0,025654472","0,424231323","0,061931566","0,088494642","0,073499636","0,013110996","0,016309322","0,17145521","0,117009955","0,142279001","0,148335828","0,140971851","0,28896864","0,143899749","0,171249855","0,472660128","0,139521847","0,499485168","0,100941257","0,343098199","0,197931421","0,013901231","0,106310033","0,540592564","0,226773897","1,460034456","0,408429949","0,471789342","0,001741892","4,040142385","0,187899213","0,060753609","0,17065491","0,032207573","0,052598292","0,076580806","0,108781188","0,383962988","0,649467785","0,046233222","0,076647323","0,801275552","0,148216414","0,049756964","0,059208189","0,031837698","1,864308938","0,457157402","0,166598316","0,376634973","0,258794562",0,0
ESP_H52,"0,037591479","0,005321011","0,000190679","0,091511919","0,649113001","0,058049059","0,302629625","0,248433688","0,046689327","0,076424232","0,252317689","0,087309002","0,126660396","0,277698812","0,293776621","0,216048625","0,04037437","0,136243896","0,322185319","0,135847421","0,028849861","0,069807125","0,039964957","0,796943657","0,002488787","0,206147564","0,322959605","0,119742476","2,117851534","0,309645537","2,675465512","0,045424259","3,062768319","3,039685946","0,004423536","0,056069123","0,070013534","0,005782913","0,022404351","0,020471229","0,035936631","0,019080591","0,00603652","0,043764148","0,0785572","0,019531398","0,00549426","0,027972645","0,00633793","0,133599954","0,063298934","0,021412651","0,139642562","0,03933814",0,0
ESP_H53,"0,000808849","9,98E-05","7,48E-06","0,002092029","0,043899439","0,002596199","0,004798473","0,004520317","0,002301883","0,001884021","0,009549846","0,004704987","0,003995867","0,005844987","0,007117436","0,007388709","0,003075999","0,002735922","0,013382765","0,003734488","0,002094512","0,003637088","0,003001555","0,007573657","0,000329703","0,002755055","0,008530479","0,009030374","0,058083786","0,02158432","0,015236889","6,68E-05","0,003710382","0,00686294","0,02510428","0,004360001","0,008945936","0,008120505","0,015366456","0,006779919","0,034475939","0,011552239","0,002653548","0,00499665","0,016390613","0,004395435","0,000908386","0,065337784","0,001703795","0,015374304","0,010685247","0,003187997","0,007965104","0,014708158",0,0
ESP_I,"0,057986597","0,005906792","0,001487438","0,049961846","0,95808126","0,091746105","0,126828478","0,083413633","0,013134298","0,015060136","0,237392429","0,180100098","0,086245344","0,140571208","0,189523861","0,342252027","0,190869245","0,076879566","0,699817856","0,161786165","0,076702383","0,139695176","0,169486632","0,385013067","0,022600167","0,153861473","0,812174644","0,305208884","2,022654831","0,640316586","0,528201579","0,009646976","0,652601671","0,250787035","0,032335172","1,355785468","0,036127122","0,044303887","0,17796748","0,152972962","0,666739181","0,873973806","0,042411159","0,183259595","0,908125015","0,216140583","0,065271514","0,047569279","0,043126486","5,679611401","0,737718063","0,491423424","0,755073549","0,397856245",0,0
ESP_J58,"0,004676219","0,000606422","1,98E-05","0,010377725","0,274965638","0,017428671","0,019370323","0,03098823","0,061096226","0,008685466","0,071197648","0,036642674","0,024094963","0,026218068","0,034549531","0,04058568","0,025220293","0,019128567","0,085999715","0,030060163","0,014169967","0,029219766","0,021151751","0,043299375","0,002123465","0,015219765","0,044429591","0,062624981","0,336267344","0,142518141","0,03267815","0,00015247","0,018328561","0,035689662","0,020830143","0,026228052","0,059451379","0,053435538","0,10672243","0,102351944","0,231147489","0,079860377","0,018418616","0,035512271","0,110948293","0,028687574","0,007349808","0,551571985","0,012079157","0,109407921","0,066791052","0,026745731","0,061130638","0,083069076",0,0
